Seed,Sequence_Length,Model,Epoch,Loss,Train_Accuracy,Early_Stop_Epoch,Best_Epoch,Final_Test_Accuracy
789,100,Pool,5,0.4361,0.7606,37.0,22.0,0.8492
789,100,Pool,10,0.3922,0.8189,37.0,22.0,0.8492
789,100,Pool,15,0.3632,0.8242,37.0,22.0,0.8492
789,100,Pool,20,0.3616,0.8364,37.0,22.0,0.8492
789,100,Pool,25,0.3318,0.8371,37.0,22.0,0.8492
789,100,Pool,30,0.3267,0.8295,37.0,22.0,0.8492
789,100,Pool,35,0.3185,0.8356,37.0,22.0,0.8492
789,100,LSTM,5,0.6514,0.5159,37.0,22.0,0.8167
789,100,LSTM,10,0.6345,0.6583,37.0,22.0,0.8167
789,100,LSTM,15,0.5603,0.6924,37.0,22.0,0.8167
789,100,LSTM,20,0.5247,0.7038,37.0,22.0,0.8167
789,100,LSTM,25,0.4419,0.7727,37.0,22.0,0.8167
789,100,LSTM,30,0.4055,0.7962,37.0,22.0,0.8167
789,100,LSTM,35,0.3992,0.803,37.0,22.0,0.8167
789,100,LSTM,40,0.3822,0.8159,37.0,22.0,0.8167
789,100,LSTM,45,0.3472,0.7773,37.0,22.0,0.8167
789,100,LSTM,50,0.3287,0.7992,37.0,22.0,0.8167
789,200,Pool,5,0.3514,0.8576,17.0,2.0,0.903
789,200,Pool,10,0.3158,0.8674,17.0,2.0,0.903
789,200,Pool,15,0.2896,0.8545,17.0,2.0,0.903
789,200,Pool,20,0.2723,0.8932,17.0,2.0,0.903
789,200,Pool,25,0.2633,0.8955,17.0,2.0,0.903
789,200,Pool,30,0.2516,0.8962,17.0,2.0,0.903
789,200,Pool,35,0.252,0.8977,17.0,2.0,0.903
789,200,Pool,40,0.2442,0.8962,17.0,2.0,0.903
789,200,Pool,45,0.238,0.897,17.0,2.0,0.903
789,200,Pool,50,0.2366,0.8977,17.0,2.0,0.903
789,200,LSTM,5,0.6982,0.5159,17.0,2.0,0.5424
789,200,LSTM,10,0.6954,0.4841,17.0,2.0,0.5424
789,200,LSTM,15,0.6973,0.4841,17.0,2.0,0.5424
789,300,Pool,5,0.3249,0.8826,40.0,25.0,0.9205
789,300,Pool,10,0.2795,0.8818,40.0,25.0,0.9205
789,300,Pool,15,0.2516,0.8773,40.0,25.0,0.9205
789,300,Pool,20,0.2377,0.9,40.0,25.0,0.9205
789,300,Pool,25,0.2264,0.9205,40.0,25.0,0.9205
789,300,Pool,30,0.212,0.9136,40.0,25.0,0.9205
789,300,Pool,35,0.2129,0.9182,40.0,25.0,0.9205
789,300,LSTM,5,0.6972,0.5159,40.0,25.0,0.8962
789,300,LSTM,10,0.5882,0.6379,40.0,25.0,0.8962
789,300,LSTM,15,0.5408,0.7091,40.0,25.0,0.8962
789,300,LSTM,20,0.5211,0.7106,40.0,25.0,0.8962
789,300,LSTM,25,0.5034,0.6977,40.0,25.0,0.8962
789,300,LSTM,30,0.5366,0.722,40.0,25.0,0.8962
789,300,LSTM,35,0.3501,0.8568,40.0,25.0,0.8962
789,300,LSTM,40,0.2925,0.8879,40.0,25.0,0.8962
789,300,LSTM,45,0.2657,0.8795,40.0,25.0,0.8962
789,300,LSTM,50,0.2343,0.8598,40.0,25.0,0.8962
789,400,Pool,5,0.3067,0.8803,,,0.9364
789,400,Pool,10,0.2635,0.8939,,,0.9364
789,400,Pool,15,0.2343,0.8947,,,0.9364
789,400,Pool,20,0.2218,0.9197,,,0.9364
789,400,Pool,25,0.2118,0.9273,,,0.9364
789,400,Pool,30,0.1937,0.9242,,,0.9364
789,400,Pool,35,0.1981,0.9182,,,0.9364
789,400,Pool,40,0.1846,0.928,,,0.9364
789,400,Pool,45,0.1801,0.9326,,,0.9364
789,400,Pool,50,0.1867,0.9265,,,0.9364
789,400,LSTM,5,0.6836,0.4841,,,0.9114
789,400,LSTM,10,0.6411,0.5909,,,0.9114
789,400,LSTM,15,0.3363,0.8803,,,0.9114
789,400,LSTM,20,0.2824,0.878,,,0.9114
789,400,LSTM,25,0.2436,0.8424,,,0.9114
789,400,LSTM,30,0.2412,0.8894,,,0.9114
789,400,LSTM,35,0.2323,0.903,,,0.9114
789,400,LSTM,40,0.2092,0.9023,,,0.9114
789,400,LSTM,45,0.1949,0.8902,,,0.9114
789,400,LSTM,50,0.1767,0.8485,,,0.9114
789,500,Pool,5,0.2935,0.8955,,,0.9402
789,500,Pool,10,0.2488,0.9045,,,0.9402
789,500,Pool,15,0.2218,0.9121,,,0.9402
789,500,Pool,20,0.2017,0.9265,,,0.9402
789,500,Pool,25,0.1944,0.9341,,,0.9402
789,500,Pool,30,0.1784,0.928,,,0.9402
789,500,Pool,35,0.1781,0.9379,,,0.9402
789,500,Pool,40,0.17,0.9341,,,0.9402
789,500,Pool,45,0.166,0.9356,,,0.9402
789,500,Pool,50,0.1722,0.9386,,,0.9402
789,500,LSTM,5,0.692,0.5212,,,0.9205
789,500,LSTM,10,0.6842,0.4856,,,0.9205
789,500,LSTM,15,0.6834,0.4841,,,0.9205
789,500,LSTM,20,0.4474,0.7826,,,0.9205
789,500,LSTM,25,0.2637,0.8682,,,0.9205
789,500,LSTM,30,0.2502,0.8939,,,0.9205
789,500,LSTM,35,0.2185,0.9008,,,0.9205
789,500,LSTM,40,0.19,0.9053,,,0.9205
789,500,LSTM,45,0.1837,0.9129,,,0.9205
789,500,LSTM,50,0.1636,0.8856,,,0.9205
123,100,Pool,5,0.4173,0.8038,,,0.8447
123,100,Pool,10,0.3934,0.8189,,,0.8447
123,100,Pool,15,0.3609,0.8311,,,0.8447
123,100,Pool,20,0.3481,0.8242,,,0.8447
123,100,Pool,25,0.3423,0.8364,,,0.8447
123,100,Pool,30,0.3256,0.8348,,,0.8447
123,100,Pool,35,0.3173,0.8371,,,0.8447
123,100,Pool,40,0.3037,0.8424,,,0.8447
123,100,Pool,45,0.3038,0.8333,,,0.8447
123,100,Pool,50,0.2803,0.8326,,,0.8447
123,100,LSTM,5,0.6145,0.6311,,,0.8326
123,100,LSTM,10,0.5583,0.6371,,,0.8326
123,100,LSTM,15,0.5371,0.6962,,,0.8326
123,100,LSTM,20,0.5218,0.6727,,,0.8326
123,100,LSTM,25,0.5509,0.675,,,0.8326
123,100,LSTM,30,0.4867,0.7455,,,0.8326
123,100,LSTM,35,0.401,0.7955,,,0.8326
123,100,LSTM,40,0.365,0.8098,,,0.8326
123,100,LSTM,45,0.335,0.7955,,,0.8326
123,100,LSTM,50,0.3276,0.8114,,,0.8326
123,200,Pool,5,0.3443,0.8576,44.0,29.0,0.9
123,200,Pool,10,0.3168,0.8705,44.0,29.0,0.9
123,200,Pool,15,0.2901,0.8455,44.0,29.0,0.9
123,200,Pool,20,0.2732,0.8833,44.0,29.0,0.9
123,200,Pool,25,0.2581,0.8841,44.0,29.0,0.9
123,200,Pool,30,0.2598,0.8939,44.0,29.0,0.9
123,200,Pool,35,0.2456,0.8947,44.0,29.0,0.9
123,200,Pool,40,0.2437,0.8818,44.0,29.0,0.9
123,200,LSTM,5,0.6947,0.5159,44.0,29.0,0.8689
123,200,LSTM,10,0.66,0.6917,44.0,29.0,0.8689
123,200,LSTM,15,0.5105,0.7227,44.0,29.0,0.8689
123,200,LSTM,20,0.3757,0.8409,44.0,29.0,0.8689
123,200,LSTM,25,0.3506,0.8455,44.0,29.0,0.8689
123,200,LSTM,30,0.3083,0.8538,44.0,29.0,0.8689
123,200,LSTM,35,0.2797,0.8659,44.0,29.0,0.8689
123,200,LSTM,40,0.2723,0.8477,44.0,29.0,0.8689
123,300,Pool,5,0.3223,0.8803,39.0,24.0,0.9205
123,300,Pool,10,0.2991,0.8977,39.0,24.0,0.9205
123,300,Pool,15,0.2537,0.8833,39.0,24.0,0.9205
123,300,Pool,20,0.2406,0.9129,39.0,24.0,0.9205
123,300,Pool,25,0.225,0.9144,39.0,24.0,0.9205
123,300,Pool,30,0.2214,0.9205,39.0,24.0,0.9205
123,300,Pool,35,0.2064,0.9159,39.0,24.0,0.9205
123,300,LSTM,5,0.693,0.5159,39.0,24.0,0.7924
123,300,LSTM,10,0.6702,0.6826,39.0,24.0,0.7924
123,300,LSTM,15,0.5542,0.6947,39.0,24.0,0.7924
123,300,LSTM,20,0.5467,0.7114,39.0,24.0,0.7924
123,300,LSTM,25,0.5199,0.7174,39.0,24.0,0.7924
123,300,LSTM,30,0.5192,0.6917,39.0,24.0,0.7924
123,300,LSTM,35,0.5008,0.7189,39.0,24.0,0.7924
123,300,LSTM,40,0.5004,0.7235,39.0,24.0,0.7924
123,300,LSTM,45,0.4645,0.7705,39.0,24.0,0.7924
