seed,hour_idx,hours_before_end,pool_corr,lstm_corr,persistence_mse
42,236,100,0.6503217297617248,0.2873614722795304,0.22082006931304932
42,280,56,0.6763541780158443,0.37160544423604186,0.20971141755580902
42,300,36,0.6898433573984406,0.4411989855603927,0.18997223675251007
42,320,16,0.6989718425294416,0.52334890570999,0.16126535832881927
42,330,6,0.7131276850509384,0.5799142528031411,0.14434212446212769
42,335,1,0.7088045698085341,0.6443616925829118,0.13465799391269684
123,236,100,0.4191328680352531,0.2466597313948136,0.22082006931304932
123,280,56,0.5155651085972679,0.24094016038632454,0.20971141755580902
123,300,36,0.5836272417075923,0.2793788975230556,0.18997223675251007
123,320,16,0.6585060019296004,0.33999273302678423,0.16126535832881927
123,330,6,0.7390364238698872,0.3908913015609305,0.14434212446212769
123,335,1,0.7602322244454471,0.4347314847572296,0.13465799391269684
789,236,100,0.6964797414347677,0.2048080644435734,0.22082006931304932
789,280,56,0.6802169898344351,0.30189984551983134,0.20971141755580902
789,300,36,0.6626264925116784,0.38562599683703164,0.18997223675251007
789,320,16,0.6359080275100019,0.488077593923499,0.16126535832881927
789,330,6,0.6134797647192051,0.5649461540600832,0.14434212446212769
789,335,1,0.5994610739341221,0.6195208349163621,0.13465799391269684
