seed,pool_drop,lstm_drop,length
42,-0.000888888888888828,0.38177777777777777,90
42,0.0,0.003777777777777769,100
42,0.0011111111111111738,0.002666666666666595,110
42,0.0011111111111110628,0.0,120
123,0.00022222222222212373,0.3535555555555555,90
123,0.001777777777777878,0.00622222222222224,100
123,0.0020000000000000018,0.003555555555555534,110
123,0.0004444444444444695,0.00022222222222212373,120
789,0.0004444444444443585,0.16066666666666674,90
789,0.0015555555555555323,0.00955555555555554,100
789,0.0028888888888888298,0.0013333333333332975,110
789,0.0004444444444444695,0.0006666666666667043,120
