Timestep,Sensitivity_Mean,Sensitivity_SD,Cumulative_Mean,Cumulative_SD
0,0.016649054,0.007511076,0.0011957677,0.00053402764
1,0.050158817,0.033832945,0.004798272,0.002830517
2,0.05861887,0.05054315,0.009008394,0.0061891424
3,0.057010476,0.057081606,0.013102997,0.010062224
4,0.04140397,0.042312264,0.016076712,0.012951341
5,0.028205775,0.02431535,0.018102506,0.014615598
6,0.027449312,0.013389208,0.020073969,0.015515093
7,0.039073486,0.00972656,0.022880305,0.016054306
8,0.043805663,0.00804216,0.026026513,0.01643076
9,0.032008052,0.0046476093,0.028325394,0.016572012
10,0.02571319,0.0060869455,0.030172167,0.016925113
11,0.023998147,0.008576271,0.03189576,0.017446594
12,0.020750346,0.012589778,0.03338609,0.018305114
13,0.02041983,0.015953526,0.034852684,0.019374775
14,0.020840963,0.016482988,0.03634952,0.02047205
15,0.020810662,0.012955236,0.03784418,0.021340458
16,0.018735718,0.00930362,0.03918982,0.021967998
17,0.014194414,0.0064122374,0.04020929,0.022401528
18,0.012060176,0.0054131355,0.041075476,0.022767292
19,0.010130704,0.003738254,0.04180308,0.0230085
20,0.014172409,0.004887496,0.04282097,0.023208674
21,0.022746703,0.007984441,0.044454683,0.023468297
22,0.028523514,0.010281916,0.046503298,0.023603506
23,0.034212418,0.010394672,0.0489605,0.023877142
24,0.037942726,0.008509442,0.05168562,0.02421533
25,0.0445412,0.009079705,0.054884654,0.024822528
26,0.05141293,0.009562997,0.058577232,0.025458075
27,0.051847298,0.010410386,0.062301006,0.026133277
28,0.05626433,0.019257281,0.06634202,0.027321577
29,0.08754631,0.04439044,0.072629765,0.030381206
30,0.19091499,0.1001643,0.08634166,0.037197273
31,0.34288573,0.13183023,0.11096838,0.04605982
32,0.59766984,0.16409633,0.15389419,0.057019833
33,0.9484622,0.15593877,0.2220146,0.06719399
34,1.2824568,0.09893697,0.31412315,0.073242776
35,1.5979055,0.067461826,0.42888784,0.07053428
36,1.5285015,0.16362305,0.5386678,0.060398698
37,1.2494764,0.29641643,0.62840766,0.041637056
38,0.68024856,0.37724182,0.67726445,0.023201443
39,0.45802465,0.038829874,0.7101607,0.020177368
40,0.789018,0.3035918,0.7668295,0.03103189
41,1.1188765,0.18722454,0.84718937,0.043777715
42,1.0964245,0.15446912,0.9259367,0.03472309
43,0.6991791,0.26013944,0.9761531,0.017573874
44,0.332028,0.2568379,1.0,0.0
